district_id,district_name,school_id,school_name,address,city,state,zip,county,full_address,lon,lat
2243,Beaverton SD 48J,4638,Beaverton Academy of Science and Engineering,10740 NE Walker Rd,Hillsboro,OR,97006,Washington,"10740 NE Walker Rd Hillsboro, OR 97006",-122.8694149,45.5267495
2243,Beaverton SD 48J,1187,Beaverton High,13000 SW Second St,Beaverton,OR,97005,Washington,"13000 SW Second St Beaverton, OR 97005",-122.8100076,45.4868214
2041,Ashland SD 5,375,Bellview Elem,1070 Tolman Creek Rd,Ashland,OR,97520,Jackson,"1070 Tolman Creek Rd Ashland, OR 97520",-122.6706303,42.1758546
1976,Bend-LaPine Administrative SD 1,5309,Bend International,63020 OB Riley Road,Bend,OR,97703,Deschutes,"63020 OB Riley Road Bend, OR 97703",-121.3083497,44.0875679
1976,Bend-LaPine Administrative SD 1,251,Bend Sr High,230 NE 6th St,Bend,OR,97701,Deschutes,"230 NE 6th St Bend, OR 97701",-121.2954824,44.0523789
1976,Bend-LaPine Administrative SD 1,1338,Bend Tech Academy,1291 NE 5th,Bend,OR,97701,Deschutes,"1291 NE 5th Bend, OR 97701",-121.2994739,44.0628766
2180,Portland SD 1J,906,Benson Polytechnic High,546 NE 12th Ave,Portland,OR,97232,Multnomah,"546 NE 12th Ave Portland, OR 97232",-122.6528034,45.5272468
2082,Eugene SD 4J,4157,Bertha Holt Elem,770 Calvin St,Eugene,OR,97401,Lane,"770 Calvin St Eugene, OR 97401",-123.0553213,44.0704077
1901,Corvallis SD 509J,33,Bessie Coleman Elementary,3838 NW Walnut Blvd,Corvallis,OR,97330,Benton,"3838 NW Walnut Blvd Corvallis, OR 97330",-123.2912291,44.5928385
2138,Silver Falls SD 4J,784,Bethany Charter School,11824 Hazelgreen Rd NE,Silverton,OR,97381,Marion,"11824 Hazelgreen Rd NE Silverton, OR 97381",-122.8188701,45.0117401
2243,Beaverton SD 48J,1156,Bethany Elem,3305 NW 174th Ave,Beaverton,OR,97006,Washington,"3305 NW 174th Ave Beaverton, OR 97006",-122.8579607,45.5431078
2180,Portland SD 1J,857,Beverly Cleary School,1915 NE 33rd,Portland,OR,97212,Multnomah,"1915 NE 33rd Portland, OR 97212",-122.6314977,45.5369687
2053,Jefferson County SD 509J,3458,Big Muddy Elem,1 Muddy Road,Antelope,OR,97001,Jefferson,"1 Muddy Road Antelope, OR 97001",-120.4783306,44.8360719
1924,North Clackamas SD 12,65,Bilquist Elem,15708 SE Webster Rd,Milwaukie,OR,97267,Clackamas,"15708 SE Webster Rd Milwaukie, OR 97267",-122.5883518,45.4098967
2052,Black Butte SD 41,428,Black Butte School,25745 SW Forest Service Road 1419,Camp Sherman,OR,97730,Jefferson,"25745 SW Forest Service Road 1419 Camp Sherman, OR 97730",-121.6437291,44.46056470000001
1900,Philomath SD 17J,18,Blodgett Elem,35177 Tum Tum Rd,Blodgett,OR,97326,Benton,"35177 Tum Tum Rd Blodgett, OR 97326",-123.5282675,44.5910203
1922,West Linn-Wilsonville SD 3J,1272,Boeckman Creek Primary,6700 SW Wilsonville Rd,Wilsonville,OR,97070,Clackamas,"6700 SW Wilsonville Rd Wilsonville, OR 97070",-122.745065,45.30936459999999
2087,South Lane SD 45J3,573,Bohemia Elem,721 S  R  St,Cottage Grove,OR,97424,Lane,"721 S  R  St Cottage Grove, OR 97424",-123.0788027,43.7914997
2180,Portland SD 1J,833,Boise-Eliot,620 N Fremont,Portland,OR,97227,Multnomah,"620 N Fremont Portland, OR 97227",-122.6729801,45.54754459999999
1922,West Linn-Wilsonville SD 3J,3455,Bolton Primary,5933 Holmes St,West Linn,OR,97068,Clackamas,"5933 Holmes St West Linn, OR 97068",-122.6190326,45.3699354
2057,Klamath County SD,467,Bonanza Elem,31610 Mission St,Bonanza,OR,97623,Klamath,"31610 Mission St Bonanza, OR 97623",-121.4045494,42.199359
2057,Klamath County SD,482,Bonanza Jr/Sr High,31610 Mission St,Bonanza,OR,97623,Klamath,"31610 Mission St Bonanza, OR 97623",-121.4045494,42.199359
2243,Beaverton SD 48J,4671,Bonny Slope Elem,11775 NW McDaniel Rd,Portland,OR,97229,Washington,"11775 NW McDaniel Rd Portland, OR 97229",-122.7970079,45.539381
1922,West Linn-Wilsonville SD 3J,3913,Boones Ferry Primary,11495 Wilsonville Rd,Wilsonville,OR,97070,Clackamas,"11495 Wilsonville Rd Wilsonville, OR 97070",-122.7945227,45.3001649
1926,Oregon Trail SD 46,97,Boring Middle,27801 SE Dee St,Boring,OR,97009,Clackamas,"27801 SE Dee St Boring, OR 97009",-122.3773504,45.4324966
1926,Oregon Trail SD 46,97,Boring Middle,27801 SE Dee St,Boring,OR,97009,Clackamas,"27801 SE Dee St Boring, OR 97009",-122.3773504,45.4324966
2092,Lowell SD 71,5349,Bridge Charter Academy,60 S Pioneer St,Lowell,OR,97452,Lane,"60 S Pioneer St Lowell, OR 97452",-122.7801882,43.9172178
2242,Tigard-Tualatin SD 23J,1135,Bridgeport Elem,5505 SW Borland Rd,Tualatin,OR,97062,Washington,"5505 SW Borland Rd Tualatin, OR 97062",-122.7324604,45.3781336
2180,Portland SD 1J,834,Bridger Creative Science School,7910 SE Market St,Portland,OR,97215,Multnomah,"7910 SE Market St Portland, OR 97215",-122.5823674,45.510532
2053,Jefferson County SD 509J,5359,Bridges High School,410 SW 4th St,Madras,OR,97741,Jefferson,"410 SW 4th St Madras, OR 97741",-121.1313698,44.6295548
2180,Portland SD 1J,835,Bridlemile Elem,4300 SW 47th Dr,Portland,OR,97221,Multnomah,"4300 SW 47th Dr Portland, OR 97221",-122.7242829,45.4917482
2083,Springfield SD 19,542,Briggs Middle,2355 Yolanda Ave,Springfield,OR,97477,Lane,"2355 Yolanda Ave Springfield, OR 97477",-122.9905645,44.0716311
2057,Klamath County SD,480,Brixner Jr High,4727 Homedale Rd,Klamath Falls,OR,97603,Klamath,"4727 Homedale Rd Klamath Falls, OR 97603",-121.7209291,42.18336499999999
2002,Winston-Dillard SD 116,3624,Brockway Elem,2520 NW Brockway Rd,Winston,OR,97496,Douglas,"2520 NW Brockway Rd Winston, OR 97496",-123.4418202,43.1247275
1974,Brookings-Harbor SD 17C,237,Brookings-Harbor High,625 Pioneer Rd,Brookings,OR,97415,Curry,"625 Pioneer Rd Brookings, OR 97415",-124.2802503,42.0573381
1894,Baker SD 5J,2,Brooklyn Primary,1350 Washington St,Baker City,OR,97814,Baker,"1350 Washington St Baker City, OR 97814",-112.0525706,33.4486814
2239,Hillsboro SD 1J,1112,Brookwood Elem,3960 SE Cedar St,Hillsboro,OR,97123,Washington,"3960 SE Cedar St Hillsboro, OR 97123",-122.9420655,45.5152621
1970,Crook County SD,265,Brothers Elem,34396 Hwy 20,Brothers,OR,97712,Deschutes,"34396 Hwy 20 Brothers, OR 97712",-120.6035804,43.8134023
1979,Brothers SD 15,265,Brothers Elem,34396 Hwy 20,Brothers,OR,97712,Deschutes,"34396 Hwy 20 Brothers, OR 97712",-120.6035804,43.8134023
2142,Salem-Keizer SD 24J,731,Brush College Elem,2623 Doaks Ferry Rd NW,Salem,OR,97304,Polk,"2623 Doaks Ferry Rd NW Salem, OR 97304",-123.07732,44.9725001
1976,Bend-LaPine Administrative SD 1,250,Buckingham Elem,62560 Hamby Rd,Bend,OR,97701,Deschutes,"62560 Hamby Rd Bend, OR 97701",-121.2416583,44.0719956
2180,Portland SD 1J,837,Buckman Elem,320 SE 16th Ave,Portland,OR,97214,Multnomah,"320 SE 16th Ave Portland, OR 97214",-122.6491015,45.5204329
2082,Eugene SD 4J,1241,Buena Vista Spanish Immersion School,1500 Queens Way,Eugene,OR,97401,Lane,"1500 Queens Way Eugene, OR 97401",-123.0763168,44.0788933
2053,Jefferson County SD 509J,429,Buff Elementary,375 SE Buff St,Madras,OR,97741,Jefferson,"375 SE Buff St Madras, OR 97741",-121.1210719,44.6280514
2014,Harney County SD 3,359,Burns High,1100 Oregon Ave,Burns,OR,97720,Harney,"1100 Oregon Ave Burns, OR 97720",-119.0746184,43.5759216
2014,Harney County SD 3,3740,Burns High Desert Academy,1100 Oregon Ave,Burns,OR,97720,Harney,"1100 Oregon Ave Burns, OR 97720",-119.0746184,43.5759216
1896,Burnt River SD 30J,3347,Burnt River School,201 S 1st Ave,Unity,OR,97884,Baker,"201 S 1st Ave Unity, OR 97884",-118.1919097,44.4397621
1896,Burnt River SD 30J,3347,Burnt River School,201 S 1st Ave,Unity,OR,97884,Baker,"201 S 1st Ave Unity, OR 97884",-118.1919097,44.4397621
2142,Salem-Keizer SD 24J,732,Bush Elem,410 14th St SE,Salem,OR,97301,Marion,"410 14th St SE Salem, OR 97301",-123.02543,44.93241
2185,Centennial SD 28J,3649,Butler Creek Elem,2789 SW Butler Rd,Gresham,OR,97080,Multnomah,"2789 SW Butler Rd Gresham, OR 97080",-122.4578806,45.47211679999999
2138,Silver Falls SD 4J,119,Butte Creek Elem,37569 S Hwy 213,Mt Angel,OR,97362,Marion,"37569 S Hwy 213 Mt Angel, OR 97362",-122.698768,45.0633863
2046,Butte Falls SD 91,406,Butte Falls Charter School,720 Laurel Ave,Butte Falls,OR,97522,Jackson,"720 Laurel Ave Butte Falls, OR 97522",-122.5669442,42.5418367
2046,Butte Falls SD 91,406,Butte Falls Charter School,720 Laurel Ave,Butte Falls,OR,97522,Jackson,"720 Laurel Ave Butte Falls, OR 97522",-122.5669442,42.5418367
2239,Hillsboro SD 1J,1147,Butternut Creek Elem,20395 SW Florence St,Aloha,OR,97007,Washington,"20395 SW Florence St Aloha, OR 97007",-122.8867544,45.4872145
2082,Eugene SD 4J,506,Cal Young Middle,2555 Gilham Rd,Eugene,OR,97401,Lane,"2555 Gilham Rd Eugene, OR 97401",-123.0791777,44.0903544
2100,Greater Albany Public SD 8J,632,Calapooia Middle,830 24th AVE SE,Albany,OR,97322,Linn,"830 24th AVE SE Albany, OR 97322",-123.0925804,44.6170143
