district_id,district_name,school_id,school_name,school_year,min_grade,max_grade,all_grades,grades_served,school_level
1901,Corvallis SD 509J,38,Linus Pauling Middle School,2023,6,8,"6, 7, 8",6-8,MS
1901,Corvallis SD 509J,38,Linus Pauling Middle School,2024,6,8,"6, 7, 8",6-8,MS
1901,Corvallis SD 509J,38,Linus Pauling Middle School,2025,6,8,"6, 7, 8",6-8,MS
1901,Corvallis SD 509J,38,Linus Pauling Middle School,2026,6,8,"6, 7, 8",6-8,MS
1901,Corvallis SD 509J,39,Letitia Carson Elementary School,2022,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,39,Letitia Carson Elementary School,2023,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,39,Letitia Carson Elementary School,2024,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,39,Letitia Carson Elementary School,2025,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,39,Letitia Carson Elementary School,2026,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,39,Wilson Elementary School,2019,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,40,Corvallis High School,2019,9,12,"9, 10, 11, 12",9-12,HS
1901,Corvallis SD 509J,40,Corvallis High School,2022,9,12,"9, 10, 11, 12",9-12,HS
1901,Corvallis SD 509J,40,Corvallis High School,2023,9,12,"9, 10, 11, 12",9-12,HS
1901,Corvallis SD 509J,40,Corvallis High School,2024,9,12,"9, 10, 11, 12",9-12,HS
1901,Corvallis SD 509J,40,Corvallis High School,2025,9,12,"9, 10, 11, 12",9-12,HS
1901,Corvallis SD 509J,40,Corvallis High School,2026,9,12,"9, 10, 11, 12",9-12,HS
1901,Corvallis SD 509J,41,Crescent Valley High School,2019,9,12,"9, 10, 11, 12",9-12,HS
1901,Corvallis SD 509J,41,Crescent Valley High School,2022,9,12,"9, 10, 11, 12",9-12,HS
1901,Corvallis SD 509J,41,Crescent Valley High School,2023,9,12,"9, 10, 11, 12",9-12,HS
1901,Corvallis SD 509J,41,Crescent Valley High School,2024,9,12,"9, 10, 11, 12",9-12,HS
1901,Corvallis SD 509J,41,Crescent Valley High School,2025,9,12,"9, 10, 11, 12",9-12,HS
1901,Corvallis SD 509J,41,Crescent Valley High School,2026,9,12,"9, 10, 11, 12",9-12,HS
1901,Corvallis SD 509J,4637,Inavale Community Partners dba Muddy Creek Charter School,2019,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,4637,Inavale Community Partners dba Muddy Creek Charter School,2022,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,4637,Inavale Community Partners dba Muddy Creek Charter School,2023,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,4637,Inavale Community Partners dba Muddy Creek Charter School,2024,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,4637,Inavale Community Partners dba Muddy Creek Charter School,2025,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,4637,Inavale Community Partners dba Muddy Creek Charter School,2026,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
